var1,var2,pearson_r
x_24,x_27,0.83095325
x_10,x_11,0.80021401
x_24,x_30,0.79995623
x_21,x_22,0.77560210
x_11,x_12,0.73313313
x_39,y,0.72140432
x_20,x_21,0.71424898
x_38,x_39,0.69906140
x_17,x_18,0.65612718
x_3,x_9,0.63770498
x_36,x_39,0.61265564
x_37,x_39,0.61013819
x_21,y,0.60671158
