var1,var2,pearson_r
x_10,x_11,0.81941338
x_21,x_22,0.81891160
x_24,x_27,0.79597377
x_24,x_30,0.79279025
x_39,y,0.71962095
x_11,x_12,0.71022497
x_20,x_21,0.69148313
x_32,x_33,0.67921921
x_38,x_39,0.67231067
x_37,x_39,0.63313874
x_11,y,0.62856290
x_15,x_18,0.61719225
x_3,x_9,0.61575144
x_17,x_18,0.61496805
