var1,var2,pearson_r
x_21,x_22,0.83912129
x_10,x_11,0.83846751
x_24,x_27,0.82560960
x_24,x_30,0.82454721
x_39,y,0.81399951
x_20,x_21,0.76112098
x_11,x_12,0.75691514
x_38,x_39,0.73609012
x_11,y,0.71356078
x_3,x_9,0.70120539
x_37,x_39,0.70012829
x_32,x_33,0.68614566
x_21,y,0.68231199
x_17,x_18,0.66474603
x_35,x_39,0.65042209
x_15,x_18,0.64566698
x_36,x_39,0.63006406
x_7,x_9,0.61251643
