var1,var2,pearson_r
x_10,x_11,0.82144304
x_21,x_22,0.81697220
x_24,x_27,0.81394969
x_24,x_30,0.80502404
x_39,y,0.77112164
x_20,x_21,0.73105307
x_11,x_12,0.71806500
x_38,x_39,0.70322596
x_32,x_33,0.67703103
x_37,x_39,0.66694987
x_3,x_9,0.66559492
x_11,y,0.66260442
x_17,x_18,0.64016135
x_15,x_18,0.63191244
x_21,y,0.62595866
x_35,x_39,0.61872547
